
> club-la-victoria@0.1.0 dev
> next dev -H 0.0.0.0

▲ Next.js 16.1.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
- Environments: .env

✓ Starting...
✓ Ready in 1542ms
 GET /socios/crear 200 in 40ms (compile: 3ms, render: 37ms)
 GET /socios 200 in 18ms (compile: 3ms, render: 15ms)
 GET /login 200 in 34ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 19ms (compile: 3ms, render: 17ms)
 GET /cobros/generar 200 in 39ms (compile: 3ms, render: 35ms)
 GET /login 200 in 23ms (compile: 1466µs, render: 21ms)
 GET /socios 200 in 13ms (compile: 1659µs, render: 11ms)
 GET /cobros/categorias 200 in 54ms (compile: 28ms, render: 26ms)
 GET /login 200 in 22ms (compile: 1388µs, render: 21ms)
 GET /socios 200 in 12ms (compile: 1609µs, render: 10ms)
 GET /cobros/categorias 200 in 30ms (compile: 2ms, render: 28ms)
 GET /login 200 in 22ms (compile: 1719µs, render: 20ms)
 GET /socios 200 in 17ms (compile: 2ms, render: 15ms)
 GET /cobros/categorias 200 in 30ms (compile: 2ms, render: 28ms)
 GET /login 200 in 51ms (compile: 1597µs, render: 49ms)
 GET /socios 200 in 11ms (compile: 1584µs, render: 10ms)
 GET /cobros/categorias 200 in 30ms (compile: 3ms, render: 27ms)
 GET /cobros/categorias 200 in 20ms (compile: 1705µs, render: 18ms)
 GET /login 200 in 24ms (compile: 1821µs, render: 22ms)
 GET /socios 200 in 12ms (compile: 1936µs, render: 10ms)
 GET /cobros/categorias 200 in 28ms (compile: 2ms, render: 26ms)
 GET /login 200 in 19ms (compile: 1357µs, render: 18ms)
 GET /login 200 in 24ms (compile: 1903µs, render: 22ms)
 GET /socios 200 in 12ms (compile: 1663µs, render: 11ms)
 GET /socios/crear 200 in 35ms (compile: 3ms, render: 32ms)
 GET /socios 200 in 13ms (compile: 2ms, render: 11ms)
 GET /cobros/generar 200 in 27ms (compile: 1893µs, render: 25ms)
 GET /cobros/generar 200 in 23ms (compile: 1745µs, render: 22ms)
 GET /cobros/generar 200 in 23ms (compile: 1699µs, render: 21ms)
 GET /cobros/generar 200 in 23ms (compile: 1813µs, render: 22ms)
 GET /login 200 in 23ms (compile: 1498µs, render: 21ms)
 GET /socios 200 in 12ms (compile: 1529µs, render: 10ms)
 GET /socios/178/cuenta-corriente 200 in 45ms (compile: 10ms, render: 35ms)
 GET /login 200 in 19ms (compile: 1526µs, render: 18ms)
 GET /socios 200 in 14ms (compile: 2ms, render: 12ms)
 GET /socios/crear 200 in 30ms (compile: 2ms, render: 28ms)
 GET /socios 200 in 9ms (compile: 1493µs, render: 8ms)
 GET /login 200 in 21ms (compile: 1354µs, render: 20ms)
 GET /socios 200 in 12ms (compile: 1594µs, render: 10ms)
 GET /cobros/generar 200 in 22ms (compile: 2ms, render: 19ms)
 GET /login 200 in 20ms (compile: 1396µs, render: 19ms)
 GET /socios 200 in 11ms (compile: 1578µs, render: 10ms)
 GET /cobros/generar 200 in 29ms (compile: 2ms, render: 26ms)
 GET /login 200 in 19ms (compile: 1408µs, render: 18ms)
 GET /login 200 in 19ms (compile: 1478µs, render: 18ms)
 GET /socios 200 in 12ms (compile: 1699µs, render: 10ms)
 GET /cobros/generar 200 in 27ms (compile: 2ms, render: 25ms)
 GET /login 200 in 26ms (compile: 1846µs, render: 24ms)
 GET /socios 200 in 16ms (compile: 1951µs, render: 14ms)
 GET /cobros/generar 200 in 28ms (compile: 1770µs, render: 26ms)
 GET /login 200 in 21ms (compile: 1359µs, render: 19ms)
 GET /socios 200 in 14ms (compile: 2ms, render: 12ms)
 GET /cobros/pagos 200 in 26ms (compile: 3ms, render: 23ms)
 GET /login 200 in 21ms (compile: 1346µs, render: 20ms)
 GET /socios 200 in 13ms (compile: 1621µs, render: 12ms)
 GET /cobros/pagos 200 in 20ms (compile: 1462µs, render: 19ms)
 GET /login 200 in 21ms (compile: 1368µs, render: 20ms)
 GET /socios 200 in 15ms (compile: 2ms, render: 13ms)
 GET /cobros/pagos 200 in 21ms (compile: 1790µs, render: 19ms)
 GET /login 200 in 20ms (compile: 1419µs, render: 19ms)
 GET /login 200 in 23ms (compile: 1445µs, render: 22ms)
 GET /socios 200 in 14ms (compile: 1529µs, render: 12ms)
 GET /cobros/pagos 200 in 23ms (compile: 2ms, render: 21ms)
 GET /login 200 in 20ms (compile: 1373µs, render: 19ms)
 GET /socios 200 in 13ms (compile: 1946µs, render: 11ms)
